Complaint No,Customer ID,Customer Name,Complaint Description,Complaint Type,Equipment Type,Priority Type,Complaint Date,Assigned Date,WIPDate Time,WIPAge,Close Date,Vendor Name,Resolution Type,Complaint Age,PORelease Date,PORelease Age,Material Delivery Date,MTDAge,Work Closer Date,Comment Date,Comments,WIP Vendor Enginner  log Date,WEAge
MAFIL_481965,2359,"KOEL NAGAR,ORISSA","Wireless Panic Switches Auttomatically Working  //Zone 17 Disabled
BH-374950",Wireless Panic Switches Not Working,Alarm Panel,Class B,04/05/2023 19:23:54,04/06/2023 12:46:22,,,04/07/2023 12:12:15,Zubaid Infotech,close,0,,,,,,04/07/2023 12:12:15,516122070405  BH 374950 wireless panic switch one battery replaced.,,
MAFIL_482865,2879,SANJAY NAGAR- GHAZIABAD,outside camera not in network \ DSR \\ not in network // Branch under civil work // 517132040819 // BH 365210,OutSide Camera Not In network,CCTV,Class B,04/05/2023 23:25:34,04/06/2023 11:19:05,,,,Techsis Ltd,Civil Maintenance,32,,,,,,,,,
MAFIL_482866,0722,ASHOKNAGAR,DSR \\ not in network,Entrance Camera Not In network,CCTV,Class B,04/05/2023 23:29:29,04/06/2023 11:42:12,,,04/07/2023 16:34:04,Enseigner Pvt Ltd,close,0,,,,,,04/07/2023 16:34:04,703482070436  abh 356851// cable reconnected,,
MAFIL_482867,1605,EACHANARI COIMBATORE,DSR \\ not in network,Safe Camera is not working,CCTV,Class A,04/05/2023 23:32:13,04/06/2023 12:49:11,,,04/07/2023 13:28:23,Zubaid Infotech,close,0,,,,,,04/07/2023 13:28:23,5570070404  lan cable reconnected working ok BH 320645,,
MAFIL_482868,0991,THADITHOTA,DSR \\ not in network,Entrance Camera Not In network,CCTV,Class B,04/05/2023 23:35:07,04/06/2023 11:42:56,,,04/08/2023 10:40:00,Enseigner Pvt Ltd,close,0,,,,,,04/08/2023 10:40:00,517617080403 Closed Abh 377177//lan cable reconnected,,
MAFIL_482869,1862,NACHIYAPPA ROAD,DSR \\ not in network,Entrance Camera Not In network,CCTV,Class B,04/05/2023 23:38:57,04/06/2023 14:13:22,,,04/08/2023 11:48:30,Zubaid Infotech,close,0,,,,,,04/08/2023 11:48:30,7723040801-Adapter changed,,
MAFIL_482870,1942,KANIGIRI,DSR\\ not in network,Entrance Camera Not In network,CCTV,Class B,04/05/2023 23:41:40,04/07/2023 17:04:33,,,04/13/2023 13:13:49,Enseigner Pvt Ltd,close,4,,,,,,04/13/2023 13:13:49,7723041301  LAN cable reconnected,,
MAFIL_482871,3368,BANAGANAPALLI KURNOOL,DSR \\ not in network,Safe Camera is not working,CCTV,Class A,04/05/2023 23:44:16,04/06/2023 11:29:31,,,04/07/2023 15:28:02,Enseigner Pvt Ltd,close,0,,,,,,04/07/2023 15:28:02,517131070403 Closed safe cam working cable reconnected,,
MAFIL_482872,2159,"RAM NAGAR,ANANTHAPUR",DSR \\ not in network,OutSide Camera Not In network,CCTV,Class B,04/05/2023 23:47:28,04/06/2023 14:14:56,,,04/10/2023 10:31:27,Enseigner Pvt Ltd,close,2,,,,,,04/10/2023 10:31:27,517132041001 Closed BH 337915 // lan cable reconnected,,
MAFIL_482873,2475,TRICHITOLLGATE,DSR \\ not in network,Entrance Camera Not In network,CCTV,Class B,04/05/2023 23:50:28,04/06/2023 14:15:45,,,04/08/2023 17:18:25,Zubaid Infotech,close,1,,,,,,04/08/2023 17:18:25,703482080438  BH 334391// camera poer adapter replaced,,
MAFIL_482874,2036,NAVANAGAR,DSR \\ not in network,Entrance Camera Not In network,CCTV,Class B,04/05/2023 23:53:18,04/06/2023 14:16:26,,,04/10/2023 11:30:17,CHUBB SYSTEMS PRIVATE LIMITED,close,2,,,,,,04/10/2023 11:30:17,703482100403  Abh  378576//  lan cable  reconected,,
MAFIL_482875,2135,ALANDA,DSR \\ not in network,Safe Camera is not working,CCTV,Class A,04/05/2023 23:56:02,04/06/2023 14:17:06,,,04/10/2023 12:53:00,CHUBB SYSTEMS PRIVATE LIMITED,close,2,,,,,,04/10/2023 12:53:00,812907041001  lan cable reconnected,,
MAFIL_482876,0159,MARKET FIELD ROAD HINDUPUR,DSR \\ not in network,Center Camera Not In network,CCTV,Class B,04/05/2023 23:58:47,04/06/2023 12:05:08,,,04/08/2023 12:01:58,Enseigner Pvt Ltd,close,1,,,,,,04/08/2023 12:01:58,517132040811 Closed ABH 383418 // lan cable reconnected,,
MAFIL_482877,0967,ROHINI SEC 3,DSR \\ not in network,Entrance Camera Not In network,CCTV,Class B,04/06/2023 00:02:09,04/06/2023 12:05:43,,,04/07/2023 13:32:27,Techsis Ltd,close,0,,,,,,04/07/2023 13:32:27,5570070405  lan cable reconnected working ok BH 375377,,
MAFIL_482878,0463,MAYUR VIHAR PHASE 1,DSR \\ not in network,Entrance Camera Not In network,CCTV,Class B,04/06/2023 00:05:19,04/06/2023 12:06:22,,,04/08/2023 10:37:04,Techsis Ltd,close,0,,,,,,04/08/2023 10:37:04,516122080405  BH 23137 entrance camera adapter changed.,,
MAFIL_482879,3228,VAZHUTHACAD,DSR \\ not in network,Center Camera Not In network,CCTV,Class B,04/06/2023 00:08:17,04/06/2023 11:27:25,,,04/12/2023 12:02:51,MX Electronics Pvt Ltd,close,5,,,,,,04/12/2023 12:02:51,703482120419  ABH 372015//network cable reconected,,
MAFIL_482880,1485,MANAVALAN NAGAR CHENNAI,DSR \\ not in n etwork,OutSide Camera Not In network,CCTV,Class B,04/06/2023 00:11:40,04/06/2023 14:20:03,,,04/08/2023 12:19:52,Zubaid Infotech,close,0,,,,,,04/08/2023 12:19:52,703482080416  BH 371903// connecter changed,,
MAFIL_482881,2461,NORTH CAR STREET TIRUCHENGODU,DSR \\ not in network,Safe Camera is not working,CCTV,Class A,04/06/2023 00:15:42,04/07/2023 17:06:07,,,04/08/2023 17:15:36,Zubaid Infotech,close,0,,,,,,04/08/2023 17:15:36,516122080435  BH374832 safe camera lan cable reconnected.,,
